DATE,EUR_weighted_return,GBP_weighted_return,JPY_weighted_return,AUD_weighted_return,NZD_weighted_return,CAD_weighted_return,CHF_weighted_return,NOK_weighted_return,SEK_weighted_return,total_return,cumulative_return
2017-01,3.664806456222153e-34,2.3589014626040557e-35,0.034492220327012366,2.548479406803928e-11,8.694218624079315e-11,1.073227671705344e-84,8.85955148874144e-21,-3.510228017288269e-84,-6.074166839607217e-54,0.03449222043943935,100.0
2017-02,4.767501325877085e-113,4.183117561761575e-173,-1.0804360942004353e-70,-2.7085784204388773e-60,3.305686922351948e-61,1.083871330745937e-54,-2.493543527214573e-74,0.017889902792337216,3.9782048799033285e-16,0.017889902792337615,101.78899027923376
2017-03,3.365664252867996e-36,8.46275725635628e-43,6.497927329434259e-21,9.901285773495722e-45,-9.754615015452551e-90,-2.0437476558805742e-112,2.5453760307069702e-05,0.022966847374765294,-6.1217375024241345e-117,0.022992301135072363,104.12935339596885
2017-04,4.647862561606864e-45,7.636804245917963e-80,-2.219726836608661e-19,8.456324228605457e-95,-2.318379481080997e-25,-2.9364660201828885e-77,0.006219855305466295,-6.595013145060335e-47,-6.941522625047177e-160,0.006219855305466295,104.77702290714353
2017-05,1.9877358782376362e-82,1.4516494760362735e-61,6.589009044143872e-08,-3.4667635701936577e-79,4.055506965449648e-12,4.6675238850987974e-26,0.026218962779371236,-8.747418761940712e-48,-4.657766318489526e-132,0.026219028673517185,107.52417467507169
2017-06,-3.311747063055082e-75,-1.105938650582544e-64,-0.015665597749176422,2.4691386060919425e-58,5.104476414141687e-41,2.9557409664690464e-32,5.575691356775378e-10,-3.2026969363406805e-26,-6.819130968532132e-62,-0.015665597191607285,105.839744266252
2017-07,-1.5727255390453496e-65,-1.1842104167893994e-46,0.017873565824679395,-1.231805286986927e-86,-3.3614005414372825e-161,1.293176467350213e-140,-3.138271435364357e-20,-1.3501745422468844e-26,-5.216837873662791e-34,0.017873565824679395,107.73147790226209
2017-08,-1.517849900860457e-36,4.697587533867796e-34,7.946951414999867e-15,3.969736928771213e-36,7.198076230661292e-67,2.441416670382394e-69,7.86441528147095e-18,-0.012488242948858802,-4.894272462920391e-14,-0.01248824294889979,106.38610103297461
2017-09,1.5249692482388156e-38,-2.4349705914643113e-49,-5.684983733411193e-14,1.233605284659623e-44,3.355296351874428e-94,-6.538929011777401e-84,-2.7994884491452263e-19,0.025808944854709515,1.1383522811028974e-08,0.025808956238175477,109.13181525888477
2017-10,1.3438345446699932e-47,1.2127317012821778e-19,-0.011579178252583758,8.355877632554881e-60,-6.043017544803207e-100,2.0558249893334157e-91,-1.8989837912138306e-09,1.9748388464122553e-14,5.464715209326865e-19,-0.011579180151547802,107.86815830973671
