DATE,EUR,GBP,JPY,AUD,NZD,CAD,CHF,NOK,SEK
2016-12,1,1,1,1,1,1,1,-1,-1
2017-01,-1,-1,1,-1,-1,-1,1,-1,-1
2017-02,1,1,1,-1,1,1,1,-1,-1
2017-03,1,1,1,-1,1,1,1,-1,-1
2017-04,1,-1,1,1,1,1,1,-1,-1
2017-05,-1,-1,1,1,1,1,1,-1,-1
2017-06,-1,-1,1,-1,-1,1,1,-1,-1
2017-07,-1,-1,1,-1,-1,-1,1,-1,-1
2017-08,-1,-1,1,-1,1,-1,1,-1,-1
2017-09,-1,-1,1,-1,1,-1,1,-1,-1
2017-10,-1,-1,1,-1,1,1,1,-1,-1
2017-11,-1,-1,1,1,1,1,1,-1,-1
2017-12,-1,-1,1,-1,1,1,1,-1,-1
2018-01,-1,-1,1,-1,1,-1,1,-1,-1
2018-02,-1,-1,1,-1,1,1,1,-1,-1
2018-03,-1,-1,1,-1,1,1,1,-1,-1
2018-04,-1,-1,1,1,1,1,1,-1,1
2018-05,1,-1,1,1,1,1,1,-1,1
2018-06,1,-1,1,1,1,1,1,-1,1
2018-07,1,-1,1,1,1,1,1,-1,1
2018-08,1,-1,1,1,1,1,1,-1,1
2018-09,1,-1,1,1,1,1,1,-1,1
2018-10,1,-1,1,1,1,1,1,-1,1
