DATE,EUR,GBP,JPY,AUD,NZD,CAD,CHF,NOK,SEK
2016-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12,7.966695090088445e-19,6.240005130798177e-19,1.2158319030836872e-15,1.4252892647096656e-16,1.606424638529219e-16,6.910751971245299e-24,1.723865818409869e-17,-7.444227079781395e-24,-8.001443986466881e-21
2017-01,-1.6298649732961833e-23,-1.654020150926562e-29,4.0012911860313735e-19,-3.3073926929046442e-18,-2.5726697087483146e-18,-1.1210335122088953e-17,1.2369407923576316e-19,-1.8945320168112487e-12,-7.666645309979298e-14
2017-02,5.747605493582866e-17,1.1572583196750966e-17,1.8139933993933824e-15,-8.531253149656694e-18,2.192901405080445e-22,1.6046191579980837e-24,8.605864969465065e-14,-1.2023386334357023e-13,-4.829893735996119e-25
2017-03,8.750538128965073e-17,2.8034933917007524e-20,4.0058406995147204e-14,-9.471115932644727e-22,8.26521882131888e-15,5.192015772723272e-20,1.6173469602794549e-12,-7.650080819856218e-17,-3.062684484604981e-28
2017-04,5.719486724002644e-20,-8.263353556790566e-18,1.9096443927042695e-12,1.3924205731383928e-19,6.101079298318113e-13,2.7493577430827764e-14,5.963217889080693e-12,-1.7627363728736766e-16,-6.582826140145097e-25
2017-05,-4.183237625795698e-19,-4.918314860385828e-18,7.68690769825979e-12,1.8620181245276365e-17,1.0025053691399904e-15,7.443779387618253e-15,1.4820431390600618e-12,-3.436221411249856e-14,-8.376377184111882e-18
2017-06,-6.641124493535217e-17,-5.643163976601219e-15,1.4340651780857047e-10,-5.061160533002163e-19,-1.8571662067606464e-26,2.039180950167968e-24,2.532802621120415e-12,-4.912208715879861e-13,-9.229316059997141e-14
2017-07,-5.017561171893019e-13,-7.484925810912902e-13,8.468617718747009e-11,-5.250632015116432e-13,-3.66149024655733e-16,-3.128004840992553e-16,3.571641657791612e-11,-1.102298100591836e-09,-7.8582786632564e-11
2017-08,-7.501261207741369e-13,-5.4902817655417885e-14,1.9644626089170635e-10,-1.7793809071278212e-13,2.2086147447974766e-18,-2.838373834639864e-17,6.207282976102464e-11,-2.8532073015911964e-09,-6.565579960080528e-10
2017-09,-8.036519687512745e-14,-5.2818069554069583e-11,2.5835344489111295e-09,-4.6745811631763525e-15,4.178275224025242e-19,-3.1066542376500915e-18,4.900092941037789e-10,-1.585335568032602e-10,-5.49006455560708e-11
2017-10,-3.6027624392196477e-16,-3.5379165218966154e-11,1.0908220768644036e-08,-6.004388521531262e-21,1.7619058530402898e-12,2.3102610955399874e-17,8.851273649019415e-09,-2.9577831729103368e-12,-9.842024776495728e-13
2017-11,-2.4312747214920613e-14,-5.210866195897768e-10,1.682999604805225e-08,1.4187834429192764e-24,2.9386117238738085e-12,3.8162263260880433e-16,8.561381847436838e-09,-2.049000958750934e-14,-5.705695687616433e-13
2017-12,-3.779506888704926e-14,-8.636280650557069e-10,3.967020569858618e-08,-5.568539425870869e-17,9.563928448463091e-15,1.3838386146330853e-23,1.0850752251844353e-08,-4.0132390039055324e-14,-8.762684966689078e-12
2018-01,-5.333271760584771e-12,-5.4262500287341316e-08,1.4102673704686654e-08,-2.44957076132539e-13,3.0078965415344833e-22,-2.434223503052566e-19,1.6030310919616804e-09,-2.139357271791652e-10,-5.563733880794892e-10
2018-02,-6.45104053246133e-14,-9.773337581951969e-09,6.088624238706315e-09,-4.6767297622779835e-19,2.2178663264261017e-15,7.222870469366121e-16,8.138531712812115e-09,-7.070054601113096e-12,-4.327658326004546e-13
2018-03,-5.6833235475574756e-14,-4.07860347287191e-08,7.2825583275357635e-09,-1.623684816378328e-32,1.247427764814161e-14,3.404065030659432e-15,2.9501841889994383e-08,-1.6787091858059732e-11,-3.6568933003800276e-14
2018-04,-3.193388425086849e-18,-1.2020788683212819e-08,5.3306258109151244e-08,3.648574327218745e-17,9.111802569610186e-12,1.1840058934819112e-15,2.5541847886513296e-07,-5.567143060540072e-13,8.039624061990281e-22
2018-05,1.4753622413336652e-16,-5.787773398741114e-10,9.419483050564256e-08,3.9054815760515515e-17,6.111377794913672e-11,2.2749845584622122e-14,3.7854580254707394e-07,-5.561660860101556e-15,2.7315918184078284e-17
2018-06,1.8917116965278743e-15,-1.8356001891471812e-10,3.910356995752465e-07,1.215287810915194e-13,2.5150351684774556e-09,7.401361982132628e-13,7.857928999928248e-07,-4.4231238631556725e-15,3.529672005611223e-14
2018-07,1.9959269015487747e-14,-5.115256208012283e-11,1.0750257589375161e-06,2.6942800017423734e-13,3.5911057820936486e-09,3.072934130129314e-13,1.2829692199497027e-06,-1.0899090092633985e-15,3.4732183548777186e-15
2018-08,6.271645444360791e-13,-4.495073592565245e-12,1.5464390411316412e-06,5.175592696785266e-11,3.223712389631879e-08,4.325833748251669e-13,1.1058599839839714e-06,-1.8438647717294734e-24,1.291709455993802e-11
2018-09,1.9217733270897944e-12,-6.199572353837895e-12,4.124643554212086e-06,6.123565404304414e-11,4.834385329589097e-08,5.2814945347907384e-14,2.4494758653422018e-06,-1.3628099931841303e-14,7.190324678191329e-13
2018-10,5.471330296125978e-11,-1.8049572301405562e-13,4.552867920054261e-06,5.339076230082337e-10,1.0768233796395097e-07,1.4691843227202075e-12,6.449654388658339e-06,-1.3736838279977493e-18,3.1917766163930383e-11
