DATE,EUR,GBP,JPY,AUD,NZD,CAD,CHF,NOK,SEK
2016-12,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.0,-0.0
2017-01,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-1.0,-0.0
2017-02,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-1.0,-0.0
2017-03,0.0,0.0,0.0,-0.0,0.0,0.0,1.0,-0.0,-0.0
2017-04,0.0,-0.0,0.0,0.0,0.0,0.0,1.0,-0.0,-0.0
2017-05,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,-0.0,-0.0
2017-06,-0.0,-0.0,1.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0
2017-07,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-1.0,-0.0
2017-08,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-1.0,-0.0
2017-09,-0.0,-0.0,1.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0
2017-10,-0.0,-0.0,1.0,-0.0,0.0,0.0,0.0,-0.0,-0.0
2017-11,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,-0.0,-0.0
2017-12,-0.0,-0.0,1.0,-0.0,0.0,0.0,0.0,-0.0,-0.0
2018-01,-0.0,-1.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0
2018-02,-0.0,-1.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0
2018-03,-0.0,-1.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0
2018-04,-0.0,-0.0,0.0,0.0,0.0,0.0,1.0,-0.0,0.0
2018-05,0.0,-0.0,0.0,0.0,0.0,0.0,1.0,-0.0,0.0
2018-06,0.0,-0.0,0.0,0.0,0.0,0.0,1.0,-0.0,0.0
2018-07,0.0,-0.0,0.0,0.0,0.0,0.0,1.0,-0.0,0.0
2018-08,0.0,-0.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.0
2018-09,0.0,-0.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.0
2018-10,0.0,-0.0,0.0,0.0,0.0,0.0,1.0,-0.0,0.0
