DATE,EUR,GBP,JPY,AUD,NZD,CAD,CHF,NOK,SEK
2016-12,3.0,2.0,7.0,5.0,6.0,1.0,4.0,-1.0,-2.0
2017-01,-2.0,-1.0,2.0,-4.0,-3.0,-5.0,1.0,-7.0,-6.0
2017-02,4.0,3.0,5.0,-2.0,2.0,1.0,6.0,-3.0,-1.0
2017-03,3.0,1.0,5.0,-2.0,4.0,2.0,6.0,-3.0,-1.0
2017-04,1.0,-2.0,5.0,2.0,4.0,3.0,6.0,-3.0,-1.0
2017-05,-1.0,-2.0,5.0,1.0,2.0,3.0,4.0,-4.0,-3.0
2017-06,-3.0,-4.0,3.0,-2.0,-1.0,1.0,2.0,-6.0,-5.0
2017-07,-3.0,-5.0,2.0,-4.0,-2.0,-1.0,1.0,-7.0,-6.0
2017-08,-4.0,-2.0,3.0,-3.0,1.0,-1.0,2.0,-6.0,-5.0
2017-09,-3.0,-4.0,3.0,-2.0,1.0,-1.0,2.0,-6.0,-5.0
2017-10,-2.0,-5.0,4.0,-1.0,2.0,1.0,3.0,-4.0,-3.0
2017-11,-2.0,-4.0,5.0,1.0,3.0,2.0,4.0,-1.0,-3.0
2017-12,-2.0,-5.0,4.0,-1.0,2.0,1.0,3.0,-3.0,-4.0
2018-01,-3.0,-6.0,3.0,-2.0,1.0,-1.0,2.0,-4.0,-5.0
2018-02,-2.0,-5.0,3.0,-1.0,2.0,1.0,4.0,-4.0,-3.0
2018-03,-3.0,-5.0,3.0,-1.0,2.0,1.0,4.0,-4.0,-2.0
2018-04,-1.0,-3.0,5.0,2.0,4.0,3.0,6.0,-2.0,1.0
2018-05,3.0,-2.0,6.0,2.0,5.0,4.0,7.0,-1.0,1.0
2018-06,1.0,-2.0,6.0,3.0,5.0,4.0,7.0,-1.0,2.0
2018-07,2.0,-2.0,6.0,3.0,5.0,4.0,7.0,-1.0,1.0
2018-08,2.0,-2.0,7.0,4.0,5.0,1.0,6.0,-1.0,3.0
2018-09,3.0,-2.0,7.0,4.0,5.0,1.0,6.0,-1.0,2.0
2018-10,3.0,-2.0,6.0,4.0,5.0,1.0,7.0,-1.0,2.0
