DATE,EUR,GBP,JPY,AUD,NZD,CAD,CHF,NOK,SEK
2016-11,,,,,,,,,
2016-12,,,,,,,,,
2017-01,1.0,2.0,4.0,-1.0,0.0,-2.0,3.0,-4.0,-3.0
2017-02,3.0,1.0,0.0,-4.0,-2.0,-1.0,4.0,-3.0,2.0
2017-03,-2.0,-3.0,0.0,-4.0,4.0,-1.0,3.0,1.0,2.0
2017-04,-3.0,-4.0,2.0,1.0,4.0,3.0,0.0,-1.0,-2.0
2017-05,-4.0,-3.0,4.0,3.0,0.0,2.0,1.0,-2.0,-1.0
2017-06,-1.0,2.0,4.0,1.0,-4.0,-2.0,3.0,0.0,-3.0
2017-07,1.0,2.0,3.0,-4.0,0.0,-1.0,4.0,-3.0,-2.0
2017-08,-1.0,1.0,2.0,-2.0,3.0,0.0,4.0,-4.0,-3.0
2017-09,-2.0,-4.0,4.0,1.0,3.0,-1.0,2.0,0.0,-3.0
2017-10,-3.0,-4.0,2.0,-2.0,0.0,-1.0,4.0,3.0,1.0
2017-11,-3.0,-4.0,-1.0,0.0,4.0,2.0,1.0,3.0,-2.0
2017-12,-1.0,-4.0,4.0,1.0,-3.0,-2.0,2.0,3.0,0.0
2018-01,2.0,-2.0,4.0,-1.0,-4.0,1.0,3.0,-3.0,0.0
2018-02,1.0,-3.0,-4.0,2.0,-1.0,4.0,0.0,-2.0,3.0
2018-03,-1.0,-3.0,-4.0,2.0,0.0,1.0,3.0,-2.0,4.0
2018-04,-1.0,-4.0,1.0,0.0,2.0,-3.0,4.0,-2.0,3.0
2018-05,4.0,0.0,-1.0,-3.0,1.0,-4.0,2.0,-2.0,3.0
2018-06,2.0,1.0,3.0,-3.0,4.0,-2.0,-1.0,-4.0,0.0
2018-07,-1.0,0.0,4.0,1.0,3.0,-3.0,2.0,-4.0,-2.0
2018-08,-2.0,-1.0,2.0,3.0,4.0,-4.0,-3.0,0.0,1.0
2018-09,0.0,-2.0,3.0,2.0,4.0,-4.0,-1.0,-3.0,1.0
2018-10,2.0,-1.0,3.0,0.0,1.0,-3.0,4.0,-4.0,-2.0
