DATE,EUR,GBP,JPY,AUD,NZD,CAD,CHF,NOK,SEK
2016-11,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2016-12,0.0,-1.0,4.0,2.0,3.0,-2.0,1.0,-3.0,-4.0
2017-01,1.0,2.0,4.0,-1.0,0.0,-2.0,3.0,-4.0,-3.0
2017-02,2.0,1.0,3.0,-3.0,0.0,-1.0,4.0,-4.0,-2.0
2017-03,1.0,-1.0,3.0,-3.0,2.0,0.0,4.0,-4.0,-2.0
2017-04,-1.0,-3.0,3.0,0.0,2.0,1.0,4.0,-4.0,-2.0
2017-05,-1.0,-2.0,4.0,0.0,1.0,2.0,3.0,-4.0,-3.0
2017-06,-1.0,-2.0,4.0,0.0,1.0,2.0,3.0,-4.0,-3.0
2017-07,0.0,-2.0,4.0,-1.0,1.0,2.0,3.0,-4.0,-3.0
2017-08,-2.0,0.0,4.0,-1.0,2.0,1.0,3.0,-4.0,-3.0
2017-09,-1.0,-2.0,4.0,0.0,2.0,1.0,3.0,-4.0,-3.0
2017-10,-1.0,-4.0,4.0,0.0,2.0,1.0,3.0,-3.0,-2.0
2017-11,-2.0,-4.0,4.0,0.0,2.0,1.0,3.0,-1.0,-3.0
2017-12,-1.0,-4.0,4.0,0.0,2.0,1.0,3.0,-2.0,-3.0
2018-01,-1.0,-4.0,4.0,0.0,2.0,1.0,3.0,-2.0,-3.0
2018-02,-1.0,-4.0,3.0,0.0,2.0,1.0,4.0,-3.0,-2.0
2018-03,-2.0,-4.0,3.0,0.0,2.0,1.0,4.0,-3.0,-1.0
2018-04,-2.0,-4.0,3.0,0.0,2.0,1.0,4.0,-3.0,-1.0
2018-05,0.0,-4.0,3.0,-1.0,2.0,1.0,4.0,-3.0,-2.0
2018-06,-2.0,-4.0,3.0,0.0,2.0,1.0,4.0,-3.0,-1.0
2018-07,-1.0,-4.0,3.0,0.0,2.0,1.0,4.0,-3.0,-2.0
2018-08,-1.0,-4.0,4.0,1.0,2.0,-2.0,3.0,-3.0,0.0
2018-09,0.0,-4.0,4.0,1.0,2.0,-2.0,3.0,-3.0,-1.0
2018-10,0.0,-4.0,3.0,1.0,2.0,-2.0,4.0,-3.0,-1.0
